conversion_id,customer_id,campaign_id,lead_date,conversion_date,revenue
CV5435,CUST3076,C112,2026-06-30,2026-07-02,452.97
CV5436,CUST3084,C104,2026-05-31,2026-06-13,127.77
CV5437,CUST3087,C113,2026-03-13,2026-03-21,67.96
CV5438,CUST3097,C104,2026-05-26,2026-06-11,92.9
CV5439,CUST3099,C107,2026-05-26,2026-05-30,187.26
CV5440,CUST3100,C109,2026-04-08,2026-04-24,318.53
CV5441,CUST3103,C115,2026-03-02,2026-03-08,119.73
CV5442,CUST3106,C107,2026-05-27,2026-05-31,92.18
CV5443,CUST3115,C113,2026-03-16,2026-04-01,73.29
CV5444,CUST3116,C108,2026-01-18,2026-01-31,152.09
CV5445,CUST3123,C101,2026-05-20,2026-05-25,81.65
CV5446,CUST3124,C112,2026-07-06,2026-07-21,67.43
CV5447,CUST3126,C101,2026-05-19,2026-05-27,280.42
CV5448,CUST3132,C117,2026-05-22,2026-05-29,110.6
CV5449,CUST3134,C107,2026-05-22,2026-06-05,101.76
CV5450,CUST3135,C113,2026-03-12,2026-03-19,500.97
CV5451,CUST3136,C117,2026-05-18,2026-05-25,90.98
CV5452,CUST3145,C116,2026-04-07,2026-04-25,100.86
CV5453,CUST3159,C112,2026-07-06,2026-07-16,579.42
CV5454,CUST3160,C117,2026-05-19,2026-06-06,184.88
CV5455,CUST3183,C100,2026-07-02,2026-07-16,136.81
CV5456,CUST3184,C111,2026-05-15,2026-05-25,92.52
CV5457,CUST3186,C102,2026-01-12,2026-01-19,158.08
CV5458,CUST3190,C102,2026-01-07,2026-01-14,91.61
CV5459,CUST3192,C101,2026-05-16,2026-05-23,89.13
CV5460,CUST3207,C113,2026-03-08,2026-03-13,208.05
CV5461,CUST3208,C113,2026-03-04,2026-03-05,183.22
CV5462,CUST3211,C110,2026-02-13,2026-02-27,127.65
CV5463,CUST3212,C115,2026-02-27,2026-03-17,112.56
CV5464,CUST3214,C105,2026-04-18,2026-05-01,155.92
CV5465,CUST3226,C106,2026-01-28,2026-02-05,285.0
CV5466,CUST3227,C109,2026-03-31,2026-04-08,76.37
CV5467,CUST3231,C112,2026-07-04,2026-07-14,397.77
CV5468,CUST3234,C106,2026-01-30,2026-02-16,400.19
CV5469,CUST3249,C112,2026-07-03,2026-07-09,222.52
CV5470,CUST3262,C114,2026-04-10,2026-04-25,75.45
CV5471,CUST3268,C103,2026-01-09,2026-01-24,72.97
CV5472,CUST3270,C115,2026-02-21,2026-03-09,64.28
CV5473,CUST3276,C110,2026-02-13,2026-02-21,166.32
CV5474,CUST3278,C108,2026-01-19,2026-02-07,329.18
CV5475,CUST3279,C115,2026-02-26,2026-03-13,477.21
CV5476,CUST3280,C104,2026-05-25,2026-05-28,123.62
CV5477,CUST3288,C112,2026-07-11,2026-07-17,92.91
CV5478,CUST3289,C105,2026-04-21,2026-04-29,204.15
CV5479,CUST3300,C119,2026-05-30,2026-06-15,110.1
CV5480,CUST3314,C108,2026-01-23,2026-02-07,155.37
CV5481,CUST3315,C113,2026-03-05,2026-03-18,160.33
CV5482,CUST3317,C119,2026-05-25,2026-06-09,199.93
CV5483,CUST3318,C103,2026-01-06,2026-01-24,429.73
CV5484,CUST3319,C111,2026-05-12,2026-05-25,173.1
CV5485,CUST3322,C102,2026-01-06,2026-01-14,533.19
CV5486,CUST3329,C105,2026-04-23,2026-05-07,459.12
CV5487,CUST3331,C108,2026-01-23,2026-02-03,148.0
CV5488,CUST3332,C112,2026-07-08,2026-07-14,307.47
CV5489,CUST3346,C119,2026-05-28,2026-05-29,192.59
CV5490,CUST3350,C109,2026-04-06,2026-04-08,111.75
CV5491,CUST3353,C104,2026-05-28,2026-06-10,118.08
CV5492,CUST3357,C104,2026-06-02,2026-06-03,115.3
CV5493,CUST3366,C109,2026-04-05,2026-04-09,107.03
CV5494,CUST3377,C105,2026-04-16,2026-04-18,182.22
CV5495,CUST3380,C101,2026-05-13,2026-05-29,106.01
CV5496,CUST3384,C101,2026-05-19,2026-05-22,418.27
CV5497,CUST3389,C115,2026-03-04,2026-03-21,176.37
CV5498,CUST3390,C115,2026-03-04,2026-03-09,146.84
CV5499,CUST3392,C106,2026-01-29,2026-02-06,384.55
CV5500,CUST3401,C106,2026-02-02,2026-02-14,195.8
CV5501,CUST3402,C119,2026-05-27,2026-06-08,159.47
CV5502,CUST3407,C107,2026-05-26,2026-05-27,69.58
CV5503,CUST3410,C113,2026-03-06,2026-03-07,68.92
CV5504,CUST3411,C108,2026-01-21,2026-02-05,208.1
CV5505,CUST3423,C106,2026-02-04,2026-02-21,186.33
CV5506,CUST3428,C104,2026-05-25,2026-05-27,454.73
CV5507,CUST3436,C104,2026-05-31,2026-06-17,81.66
CV5508,CUST3446,C119,2026-05-25,2026-06-03,417.86
CV5509,CUST3451,C115,2026-02-27,2026-03-11,59.68
CV5510,CUST3459,C100,2026-07-06,2026-07-10,159.59
CV5511,CUST3466,C103,2026-01-07,2026-01-20,200.45
CV5512,CUST3477,C112,2026-07-08,2026-07-12,151.56
CV5513,CUST3488,C102,2026-01-03,2026-01-10,80.55
CV5514,CUST3493,C105,2026-04-21,2026-05-05,285.03
CV5515,CUST3496,C110,2026-02-20,2026-03-01,85.3
CV5516,CUST3497,C101,2026-05-17,2026-05-18,108.04
CV5517,CUST3499,C111,2026-05-14,2026-05-15,92.5
CV5518,CUST3505,C115,2026-03-02,2026-03-06,88.43
CV5519,CUST3506,C100,2026-07-03,2026-07-04,205.8
CV5520,CUST3513,C117,2026-05-14,2026-05-24,174.81
CV5521,CUST3518,C111,2026-05-13,2026-05-15,76.7
CV5522,CUST3531,C105,2026-04-20,2026-05-05,89.04
CV5523,CUST3537,C103,2026-01-11,2026-01-14,188.96
CV5524,CUST3541,C102,2026-01-06,2026-01-15,62.01
CV5525,CUST3544,C113,2026-03-11,2026-03-28,478.74
CV5526,CUST3552,C114,2026-04-10,2026-04-23,573.32
CV5527,CUST3557,C101,2026-05-18,2026-05-21,375.72
CV5528,CUST3562,C107,2026-05-23,2026-05-27,480.52
CV5529,CUST3565,C113,2026-03-15,2026-03-19,542.83
CV5530,CUST3570,C105,2026-04-16,2026-04-27,166.42
CV5531,CUST3572,C118,2026-06-08,2026-06-15,191.16
CV5532,CUST3576,C109,2026-04-01,2026-04-12,75.9
CV5533,CUST3583,C108,2026-01-19,2026-01-30,75.59
CV5534,CUST3585,C114,2026-04-18,2026-04-28,98.73
CV5535,CUST3587,C113,2026-03-11,2026-03-16,101.15
CV5536,CUST3590,C107,2026-05-22,2026-06-04,217.44
CV5537,CUST3597,C102,2026-01-08,2026-01-20,70.39
CV5538,CUST3603,C107,2026-05-25,2026-06-04,85.97
CV5539,CUST3606,C113,2026-03-05,2026-03-12,72.03
CV5540,CUST3628,C101,2026-05-13,2026-06-01,114.61
CV5541,CUST3630,C107,2026-05-23,2026-06-11,81.81
CV5542,CUST3647,C103,2026-01-08,2026-01-27,79.94
CV5543,CUST3654,C101,2026-05-16,2026-05-28,73.31
CV5544,CUST3667,C109,2026-04-01,2026-04-16,140.64
CV5545,CUST3670,C116,2026-04-16,2026-04-21,148.25
CV5546,CUST3672,C107,2026-05-22,2026-06-05,119.29
CV5547,CUST3676,C112,2026-07-09,2026-07-21,106.11
CV5548,CUST3678,C116,2026-04-13,2026-04-24,60.57
CV5549,CUST3683,C116,2026-04-14,2026-04-19,209.69
CV5550,CUST3684,C107,2026-05-20,2026-06-05,181.0
CV5551,CUST3700,C108,2026-01-24,2026-02-11,113.0
CV5552,CUST3702,C112,2026-07-03,2026-07-15,146.01
CV5553,CUST3714,C111,2026-05-09,2026-05-14,85.73
CV5554,CUST3718,C111,2026-05-12,2026-05-28,113.36
CV5555,CUST3725,C113,2026-03-12,2026-03-24,137.71
CV5556,CUST3726,C112,2026-07-07,2026-07-09,214.86
CV5557,CUST3744,C100,2026-06-25,2026-07-01,204.42
CV5558,CUST3749,C106,2026-02-03,2026-02-07,118.76
CV5559,CUST3753,C101,2026-05-16,2026-05-29,76.75
CV5560,CUST3755,C110,2026-02-18,2026-02-28,71.09
CV5561,CUST3759,C117,2026-05-20,2026-06-06,144.7
CV5562,CUST3760,C118,2026-06-09,2026-06-23,219.56
CV5563,CUST3763,C102,2026-01-13,2026-01-28,77.32
CV5564,CUST3771,C101,2026-05-16,2026-05-24,92.17
CV5565,CUST3779,C114,2026-04-15,2026-05-03,153.44
CV5566,CUST3782,C105,2026-04-18,2026-04-21,81.36
CV5567,CUST3785,C103,2026-01-11,2026-01-28,68.38
CV5568,CUST3788,C108,2026-01-22,2026-01-29,90.37
CV5569,CUST3790,C111,2026-05-14,2026-05-27,110.36
CV5570,CUST3792,C102,2026-01-04,2026-01-20,59.17
CV5571,CUST3794,C111,2026-05-13,2026-05-18,112.91
CV5572,CUST3799,C115,2026-02-27,2026-03-03,184.86
CV5573,CUST3800,C103,2026-01-14,2026-01-24,179.01
CV5574,CUST3802,C106,2026-01-31,2026-02-13,180.11
CV5575,CUST3826,C119,2026-05-26,2026-06-05,74.96
CV5576,CUST3827,C111,2026-05-16,2026-05-30,412.85
CV5577,CUST3833,C117,2026-05-18,2026-05-30,200.91
CV5578,CUST3835,C102,2026-01-10,2026-01-11,141.77
CV5579,CUST3837,C112,2026-07-01,2026-07-08,161.4
CV5580,CUST3839,C113,2026-03-08,2026-03-17,57.26
CV5581,CUST3853,C103,2026-01-13,2026-01-21,102.95
CV5582,CUST3854,C117,2026-05-19,2026-06-01,82.73
CV5583,CUST3861,C112,2026-07-03,2026-07-17,168.04
CV5584,CUST3864,C104,2026-06-02,2026-06-14,316.7
CV5585,CUST3868,C112,2026-06-30,2026-07-08,119.47
CV5586,CUST3875,C112,2026-07-05,2026-07-23,376.79
CV5587,CUST3880,C111,2026-05-10,2026-05-26,181.2
CV5588,CUST3895,C117,2026-05-22,2026-06-02,174.75
CV5589,CUST3898,C104,2026-06-01,2026-06-17,531.23
CV5590,CUST3907,C110,2026-02-24,2026-03-10,140.26
CV5591,CUST3914,C116,2026-04-09,2026-04-12,521.9
CV5592,CUST3917,C113,2026-03-14,2026-03-16,80.48
CV5593,CUST3930,C110,2026-02-20,2026-02-23,411.57
CV5594,CUST3934,C118,2026-06-09,2026-06-13,495.27
CV5595,CUST3937,C118,2026-06-09,2026-06-14,530.97
CV5596,CUST3938,C113,2026-03-09,2026-03-19,185.02
CV5597,CUST3942,C114,2026-04-11,2026-04-13,113.59
CV5598,CUST3944,C106,2026-02-08,2026-02-20,139.22
CV5599,CUST3951,C112,2026-07-03,2026-07-08,113.64
CV5600,CUST3958,C105,2026-04-19,2026-04-24,64.38
CV5601,CUST3964,C115,2026-03-03,2026-03-04,98.21
CV5602,CUST3968,C109,2026-04-09,2026-04-13,91.05
CV5603,CUST3973,C108,2026-01-18,2026-01-30,438.28
CV5604,CUST3984,C102,2026-01-11,2026-01-23,379.49
CV5605,CUST3986,C103,2026-01-09,2026-01-25,88.24
CV5606,CUST3992,C107,2026-05-27,2026-06-13,124.41
